rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,bfefrmtrm_nm,bfefrmtrm_amount,ticker,corp_name,fs_div
20250616000263,11013,2025,01204056,CIS,포괄손익계산서,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분 귀속 총포괄손익,-,제 21 기 1분기,-4625601000,,,14,KRW,-4625601000,제 20 기 1분기,-6619822000,-6619822000,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CIS,포괄손익계산서,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업의 소유주 귀속 총포괄손익,-,제 21 기 1분기,75471690000,,,15,KRW,75471690000,제 20 기 1분기,74915645000,74915645000,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CIS,포괄손익계산서,ifrs-full_CostOfSales,매출원가,-,제 21 기 1분기,282454933000,,,16,KRW,282454933000,제 20 기 1분기,183733479000,183733479000,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CIS,포괄손익계산서,ifrs-full_BasicEarningsLossPerShare,기본주당순이익,-,제 21 기 1분기,1449,,,18,KRW,1449,제 20 기 1분기,414,414,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CIS,포괄손익계산서,ifrs-full_DilutedEarningsLossPerShare,희석주당순이익,-,제 21 기 1분기,1448,,,19,KRW,1448,제 20 기 1분기,414,414,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CIS,포괄손익계산서,ifrs-full_FinanceCosts,금융비용,-,제 21 기 1분기,29970845000,,,20,KRW,29970845000,제 20 기 1분기,36638486000,36638486000,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CIS,포괄손익계산서,ifrs-full_FinanceIncome,금융수익,-,제 21 기 1분기,98667202000,,,21,KRW,98667202000,제 20 기 1분기,46281463000,46281463000,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CIS,포괄손익계산서,ifrs-full_GrossProfit,매출총이익,-,제 21 기 1분기,218158516000,,,22,KRW,218158516000,제 20 기 1분기,177184955000,177184955000,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CIS,포괄손익계산서,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,-,제 21 기 1분기,25823544000,,,23,KRW,25823544000,제 20 기 1분기,9856588000,9856588000,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CIS,포괄손익계산서,ifrs-full_OtherComprehensiveIncome,법인세비용차감후기타포괄손익,-,제 21 기 1분기,16455908000,,,24,KRW,16455908000,제 20 기 1분기,57197666000,57197666000,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CIS,포괄손익계산서,ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류되는 항목,-,제 21 기 1분기,16531279000,,,25,KRW,16531279000,제 20 기 1분기,57429441000,57429441000,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CIS,포괄손익계산서,ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,해외사업환산차이,-,제 21 기 1분기,16531279000,,,26,KRW,16531279000,제 20 기 1분기,57429441000,57429441000,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CIS,포괄손익계산서,ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 항목,-,제 21 기 1분기,-75371000,,,27,KRW,-75371000,제 20 기 1분기,-231775000,-231775000,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CIS,포괄손익계산서,ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossNetOfTax,지분법자본변동,-,제 21 기 1분기,-75371000,,,28,KRW,-75371000,제 20 기 1분기,-231775000,-231775000,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CIS,포괄손익계산서,ifrs-full_ProfitLoss,분기순이익,-,제 21 기 1분기,54390181000,,,29,KRW,54390181000,제 20 기 1분기,11098157000,11098157000,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CIS,포괄손익계산서,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분 귀속 분기순이익,-,제 21 기 1분기,-5783119000,,,31,KRW,-5783119000,제 20 기 1분기,-6134593000,-6134593000,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CIS,포괄손익계산서,ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주 귀속 분기순이익,-,제 21 기 1분기,60173300000,,,32,KRW,60173300000,제 20 기 1분기,17232750000,17232750000,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CIS,포괄손익계산서,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순손익,-,제 21 기 1분기,80213725000,,,33,KRW,80213725000,제 20 기 1분기,20954745000,20954745000,,,352820,하이브,CFS
20250616000263,11013,2025,01204056,CIS,포괄손익계산서,ifrs-full_Revenue,매출액,-,제 21 기 1분기,500613449000,,,34,KRW,500613449000,제 20 기 1분기,360918434000,360918434000,,,352820,하이브,CFS
