rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,bfefrmtrm_amount,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,ticker,corp_name,fs_div
20250813000516,11012,2025,01817081,BS,재무상태표,ifrs-full_OtherCurrentFinancialLiabilities,기타유동금융부채,-,제 2 기 반기말,17600000,제 1 기말,17600000,48,KRW,,,,,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,BS,재무상태표,ifrs-full_OtherCurrentLiabilities,기타유동부채,-,제 2 기 반기말,147116121451,제 1 기말,65551396949,49,KRW,,,,,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,BS,재무상태표,ifrs-full_TradeAndOtherCurrentPayables,매입채무및기타채무,-,제 2 기 반기말,328724218180,제 1 기말,40633044460,50,KRW,,,,,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,BS,재무상태표,ifrs-full_Liabilities,부채총계,-,제 2 기 반기말,978124454390,제 1 기말,489721923418,51,KRW,,,,,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,BS,재무상태표,ifrs-full_NoncurrentLiabilities,비유동부채,-,제 2 기 반기말,338393918968,제 1 기말,192655618753,52,KRW,,,,,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentPayables,장기성매입채무및기타채무,-,제 2 기 반기말,5996061562,제 1 기말,6797929273,53,KRW,,,,,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,BS,재무상태표,dart_NonCurrentDerivativeLiabilities,비유동파생상품부채,-,제 2 기 반기말,738955196,제 1 기말,0,54,KRW,,,,,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,BS,재무상태표,-표준계정코드 미사용-,비유동미지급법인세,-,제 2 기 반기말,592485428,제 1 기말,354599208,55,KRW,,,,,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,BS,재무상태표,ifrs-full_DeferredTaxLiabilities,이연법인세부채,-,제 2 기 반기말,4730340615,제 1 기말,4739556477,56,KRW,,,,,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,BS,재무상태표,ifrs-full_NoncurrentPortionOfNoncurrentBondsIssued,사채,-,제 2 기 반기말,91610805898,제 1 기말,53874966338,57,KRW,,,,,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,BS,재무상태표,ifrs-full_NoncurrentPortionOfNoncurrentLoansReceived,장기차입금,-,제 2 기 반기말,202628739390,제 1 기말,92016828977,58,KRW,,,,,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,BS,재무상태표,ifrs-full_NoncurrentProvisions,충당부채,-,제 2 기 반기말,372491324,제 1 기말,3112819754,59,KRW,,,,,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,-,제 2 기 반기말,31724039555,제 1 기말,31758918726,60,KRW,,,,,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CIS,포괄손익계산서,dart_OperatingIncomeLoss,영업이익(손실),-,제 2 기 반기,9593792372,,,6,KRW,,10655808662,제 1 기 반기,-2356583927,-1939120595,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CIS,포괄손익계산서,dart_OtherGains,기타이익,-,제 2 기 반기,291809,,,7,KRW,,4057277719,제 1 기 반기,59052077,59077920,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CIS,포괄손익계산서,dart_OtherLosses,기타손실,-,제 2 기 반기,169032486,,,8,KRW,,246559469,제 1 기 반기,2957988,32640763,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CIS,포괄손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,제 2 기 반기,6376411392,,,9,KRW,,11181398150,제 1 기 반기,5027137389,5987959982,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CIS,포괄손익계산서,ifrs-full_ComprehensiveIncome,총포괄손익,-,제 2 기 반기,13759880926,,,10,KRW,,14656745671,제 1 기 반기,-2623493656,-4044022146,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CIS,포괄손익계산서,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분,-,제 2 기 반기,0,,,12,KRW,,0,제 1 기 반기,0,0,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CIS,포괄손익계산서,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업 소유주지분,-,제 2 기 반기,13759880926,,,13,KRW,,14656745671,제 1 기 반기,-2623493656,-4044022146,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CIS,포괄손익계산서,ifrs-full_CostOfSales,매출원가,-,제 2 기 반기,49353873700,,,14,KRW,,69420019957,제 1 기 반기,11324619644,14762359090,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CIS,포괄손익계산서,ifrs-full_BasicEarningsLossPerShare,보통주기본주당이익(손실),-,제 2 기 반기,424,,,16,KRW,,453,제 1 기 반기,-99,-153,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CIS,포괄손익계산서,ifrs-full_DilutedEarningsLossPerShare,보통주희석주당이익(손실),-,제 2 기 반기,420,,,17,KRW,,449,제 1 기 반기,-99,-153,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CIS,포괄손익계산서,ifrs-full_FinanceCosts,금융원가,-,제 2 기 반기,12605685331,,,18,KRW,,19083392157,제 1 기 반기,5719312205,7786717331,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CIS,포괄손익계산서,ifrs-full_FinanceIncome,금융수익,-,제 2 기 반기,16707465162,,,19,KRW,,17791434634,제 1 기 반기,1373363938,1799416685,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CIS,포괄손익계산서,ifrs-full_GrossProfit,매출총이익,-,제 2 기 반기,15970203764,,,20,KRW,,21837206812,제 1 기 반기,2670553462,4048839387,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CIS,포괄손익계산서,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,-,제 2 기 반기,2498397034,,,21,KRW,,1731288676,제 1 기 반기,580057379,777757925,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CIS,포괄손익계산서,ifrs-full_OtherComprehensiveIncome,기타포괄손익,-,제 2 기 반기,-538719936,,,22,KRW,,-621212319,제 1 기 반기,72925403,103643438,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CIS,포괄손익계산서,ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 항목,-,제 2 기 반기,-538719936,,,23,KRW,,-621212319,제 1 기 반기,72925403,103643438,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CIS,포괄손익계산서,ifrs-full_GainsLossesOnCashFlowHedgesNetOfTax,파생상품평가손익,-,제 2 기 반기,6247508,,,24,KRW,,-52104852,제 1 기 반기,-30718035,0,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CIS,포괄손익계산서,ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax,지분법자본변동,-,제 2 기 반기,-544967444,,,25,KRW,,-569107467,제 1 기 반기,103643438,103643438,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CIS,포괄손익계산서,ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 항목,-,제 2 기 반기,0,,,26,KRW,,0,제 1 기 반기,0,0,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CIS,포괄손익계산서,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,순확정급여자산의 재측정요소,-,제 2 기 반기,0,,,27,KRW,,0,제 1 기 반기,0,0,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CIS,포괄손익계산서,ifrs-full_ProfitLoss,당기순이익(손실),-,제 2 기 반기,14298600862,,,28,KRW,,15277957990,제 1 기 반기,-2696419059,-4147665584,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CIS,포괄손익계산서,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분에 귀속되는 당기순이익(손실),-,제 2 기 반기,0,,,30,KRW,,0,제 1 기 반기,0,0,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CIS,포괄손익계산서,ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 당기순이익(손실),-,제 2 기 반기,14298600862,,,31,KRW,,15277957990,제 1 기 반기,-2696419059,-4147665584,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CIS,포괄손익계산서,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),-,제 2 기 반기,16796997896,,,32,KRW,,17009246666,제 1 기 반기,-2116361680,-3369907659,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CIS,포괄손익계산서,ifrs-full_Revenue,매출액,-,제 2 기 반기,65324077464,,,33,KRW,,91257226769,제 1 기 반기,13995173106,18811198477,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CIS,포괄손익계산서,ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법투자주식평가이익(손실),-,제 2 기 반기,3270166370,,,34,KRW,,3834677277,제 1 기 반기,4530076425,4530076425,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CF,현금흐름표,dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,-,제 2 기 반기,66626822446,,,2,KRW,,,제 1 기 반기,117105997028,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CF,현금흐름표,dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,-,제 2 기 반기,125369762652,,,3,KRW,,,제 1 기 반기,61546281159,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,-,제 2 기 반기,139915926941,,,8,KRW,,,제 1 기 반기,-73942135335,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CF,현금흐름표,dart_AcquisitionOfTreasuryShares,자기주식의 취득으로 인한 현금의 유출,-,제 2 기 반기,0,,,9,KRW,,,제 1 기 반기,124967706,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CF,현금흐름표,dart_PaymentsOfFinanceLeaseLiabilitiesClassifiedAsFinancingActivities,리스부채의 상환,-,제 2 기 반기,1027673172,,,10,KRW,,,제 1 기 반기,191971041,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CF,현금흐름표,dart_ProceedsFromBonds,사채의 증가,-,제 2 기 반기,59610000000,,,11,KRW,,,제 1 기 반기,0,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CF,현금흐름표,dart_ProceedsFromExerciseOfShareOptions,주식매수선택권의 행사,-,제 2 기 반기,339328400,,,12,KRW,,,제 1 기 반기,820017960,,475150,SK이터닉스,CFS
20250813000516,11012,2025,01817081,CF,현금흐름표,dart_ProceedsFromLongTermBorrowings,장기차입금의 증가,-,제 2 기 반기,135598300000,,,13,KRW,,,제 1 기 반기,50000000000,,475150,SK이터닉스,CFS
