rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,bfefrmtrm_amount,thstrm_add_amount,ticker,corp_name,fs_div
20251113000504,11014,2025,01882845,CF,현금흐름표,ifrs-full_DividendsPaidClassifiedAsFinancingActivities,배당금의 지급,-,제 2 기 3분기,6564549082,,,20,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,ifrs-full_PaymentsOfLeaseLiabilitiesClassifiedAsFinancingActivities,리스부채의 감소,-,제 2 기 3분기,17503030911,,,21,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,ifrs-full_RepaymentsOfBorrowingsClassifiedAsFinancingActivities,차입금의 감소,-,제 2 기 3분기,243060767123,,,22,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동으로 인한 현금흐름,-,제 2 기 3분기,-202508596165,,,23,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,ifrs-full_InflowsOfCashFromInvestingActivities,투자 활동으로 인한 현금 유입액,-,제 2 기 3분기,5089233960,,,24,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,dart_DecreaseInGuaranteeDeposits,보증금의 감소,-,제 2 기 3분기,84120000,,,25,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,dart_ProceedsFromSalesOfLongTermFinancialInstruments,장기금융상품의 감소,-,제 2 기 3분기,5000000,,,26,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,dart_ProceedsFromSalesOfOtherCurrentFinancialAssets,금융기관예치금의 감소,-,제 2 기 3분기,5000000000,,,27,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,-,제 2 기 3분기,113960,,,28,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,ifrs-full_OutflowsOfCashFromInvestingActivities,투자 활동으로부터의 현금 유출액,-,제 2 기 3분기,207597830125,,,29,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,dart_IncreaseInGuaranteeDeposits,보증금의 증가,-,제 2 기 3분기,56225000,,,30,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,dart_PurchaseOfOtherCurrentFinancialAssets,금융기관예치금의 증가,-,제 2 기 3분기,17000000000,,,31,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,ifrs-full_InterestPaidClassifiedAsInvestingActivities,유형자산 취득관련 차입원가,-,제 2 기 3분기,2581460660,,,32,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,-,제 2 기 3분기,422691304,,,33,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,-,제 2 기 3분기,187537453161,,,34,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,-,제 2 기 3분기,86690991040,,,35,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInOperations,영업활동에서 창출된 현금흐름,-,제 2 기 3분기,108120023088,,,36,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,ifrs-full_IncomeTaxesPaidClassifiedAsOperatingActivities,법인세의 납부,-,제 2 기 3분기,14452452280,,,37,KRW,,,499790,GS피앤엘,CFS
20251113000504,11014,2025,01882845,CF,현금흐름표,ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자의 지급,-,제 2 기 3분기,7194503887,,,38,KRW,,,499790,GS피앤엘,CFS
