rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,ticker,corp_name,fs_div
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,dart_GainsOnSaleOfInvestmentAccountedForUsingEquityMethod,지분법주식처분이익,-,제 16 기 1분기,8500820772,,,,,6,KRW,8500820772,제 15 기 1분기,0,0,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,dart_OperatingIncomeLoss,영업이익,-,제 16 기 1분기,89768206582,,,,,7,KRW,89768206582,제 15 기 1분기,25671834120,25671834120,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,dart_OtherGains,기타영업외수익,-,제 16 기 1분기,121252966,,,,,8,KRW,121252966,제 15 기 1분기,643780,643780,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,dart_OtherLosses,기타영업외비용,-,제 16 기 1분기,28399627,,,,,9,KRW,28399627,제 15 기 1분기,448498320,448498320,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,제 16 기 1분기,123785923388,,,,,10,KRW,123785923388,제 15 기 1분기,108206899545,108206899545,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,ifrs-full_ComprehensiveIncome,분기연결총포괄이익,-,제 16 기 1분기,112066709587,,,,,11,KRW,112066709587,제 15 기 1분기,17489350263,17489350263,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분,-,제 16 기 1분기,-2477081238,,,,,12,KRW,-2477081238,제 15 기 1분기,-3768859793,-3768859793,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업소유주지분,-,제 16 기 1분기,114543790825,,,,,13,KRW,114543790825,제 15 기 1분기,21258210056,21258210056,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,ifrs-full_CostOfSales,매출원가,-,제 16 기 1분기,14331904433,,,,,14,KRW,14331904433,제 15 기 1분기,10498522393,10498522393,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CIS,포괄손익계산서,dart_CostOfSalesFromRenderingOfServices,기타매출원가,-,제 16 기 1분기,354377599,,,,,15,KRW,354377599,제 15 기 1분기,883312028,883312028,326030,에스케이바이오팜,CFS
