ticker,name,exchange,sector,industry,market_cap,shares_outstanding,listing_date
025870,신라에스지,KOSDAQ,,관리종목(소속부없음),11280000000,4000000,
025880,케이씨피드,KOSDAQ,,우량기업부,42291120740,16715858,
025900,동화기업,KOSDAQ,,중견기업부,310927302750,50557285,
025950,동신건설,KOSDAQ,,우량기업부,88872000000,8400000,
025980,아난티,KOSDAQ,,우량기업부,375581821400,97300990,
026040,제이에스티나,KOSDAQ,,중견기업부,29277723460,16503790,
026150,특수건설,KOSDAQ,,중견기업부,68079764280,17546331,
026910,광진실업,KOSDAQ,,중견기업부,36470299600,7928326,
027040,서울전자통신,KOSDAQ,,중견기업부,27376251623,13917769,
027050,코리아나,KOSDAQ,,중견기업부,55480000000,40000000,
027360,아주IB투자,KOSDAQ,,중견기업부,396145477620,121145406,
027580,상보,KOSDAQ,,중견기업부,21376276530,11836255,
027710,팜스토리,KOSDAQ,,우량기업부,118547262400,111416600,
027830,대성창투,KOSDAQ,,중견기업부,53838000000,54000000,
028080,휴맥스홀딩스,KOSDAQ,,관리종목(소속부없음),11791412360,2530346,
028300,HLB,KOSDAQ,,중견기업부,4648617982700,133198223,
029480,광무,KOSDAQ,,중견기업부,84920605704,59719132,
030350,드래곤플라이,KOSDAQ,,관리종목(소속부없음),15171092867,15592079,
030520,한컴,KOSDAQ,,우량기업부,449985035840,24179744,
030530,원익홀딩스,KOSDAQ,,중견기업부,1614273802900,77237981,
030960,양지사,KOSDAQ,,중견기업부,72229600000,15980000,
031310,아이즈비전,KOSDAQ,,중견기업부,30341584020,29746651,
031330,에스에이엠티,KOSDAQ,,우량기업부,1006950324690,99995067,
031510,오스템,KOSDAQ,,중견기업부,33068000000,28000000,
031860,디에이치엑스컴퍼니,KOSDAQ,,관리종목(소속부없음),18714758139,27005423,
031980,피에스케이홀딩스,KOSDAQ,,우량기업부,2255426517000,21562395,
032080,아즈텍WB,KOSDAQ,,중견기업부,22178741928,21491029,
032190,다우데이타,KOSDAQ,,우량기업부,737275000000,38300000,
032280,삼일,KOSDAQ,,중견기업부,21288443670,16213590,
032300,한국파마,KOSDAQ,,중견기업부,85290401820,10906701,
032500,케이엠더블유,KOSDAQ,,중견기업부,721056170090,42191701,
032540,TJ미디어,KOSDAQ,,우량기업부,65513389755,20897413,
032580,피델릭스,KOSDAQ,,중견기업부,148431646720,33132064,
032620,GC메디아이,KOSDAQ,,우량기업부,155808459915,52197139,
032680,소프트센,KOSDAQ,,중견기업부,18707725257,20855881,
032685,소프트센우,KOSDAQ,,중견기업부,806390600,71362,
032750,삼진,KOSDAQ,,우량기업부,27003054780,9031122,
032790,엠젠솔루션,KOSDAQ,,벤처기업부,24139299640,25680106,
032800,판타지오,KOSDAQ,,중견기업부,20486742168,12461522,
032820,우리기술,KOSDAQ,,벤처기업부,2026763498760,172784612,
032850,비트컴퓨터,KOSDAQ,,벤처기업부,68654200090,16623293,
032860,더라미,KOSDAQ,,중견기업부,28034728922,40395863,
032940,원익,KOSDAQ,,우량기업부,109523244600,18193230,
032960,동일기연,KOSDAQ,,관리종목(소속부없음),35273914875,17592975,
033050,제이엠아이,KOSDAQ,,중견기업부,29706093024,31839328,
033130,디지틀조선,KOSDAQ,,중견기업부,72152079048,37115267,
033160,엠케이전자,KOSDAQ,,중견기업부,412273700640,24194466,
033170,시그네틱스,KOSDAQ,,중견기업부,29147628460,85728319,
033200,모아텍,KOSDAQ,,투자주의환기종목(소속부없음),23931775400,9204529,
033230,인성정보,KOSDAQ,,중견기업부,50717441520,50515380,
033290,로젠,KOSDAQ,,우량기업부,89569300095,56156301,
033310,엠투엔,KOSDAQ,,중견기업부,52883559288,39972456,
033320,제이씨현시스템,KOSDAQ,,벤처기업부,53902698240,19114432,
033340,좋은사람들,KOSDAQ,,중견기업부,32284535814,96950558,
033500,동성화인텍,KOSDAQ,,우량기업부,511920662580,29989494,
033540,파라텍,KOSDAQ,,중견기업부,41117862497,52246331,
033560,블루콤,KOSDAQ,,중견기업부,90117000000,17100000,
033640,네패스,KOSDAQ,,중견기업부,385088673400,23059202,
033790,피노,KOSDAQ,,중견기업부,461603253980,83321887,
033830,티비씨,KOSDAQ,,중견기업부,30005615310,18907130,
034810,해성산업,KOSDAQ,,중견기업부,204955186480,31580152,
034940,조아제약,KOSDAQ,,중견기업부,17038904850,30979827,
034950,한국기업평가,KOSDAQ,,우량기업부,461316222400,4540514,
035080,그래디언트,KOSDAQ,,중견기업부,112140896040,11431284,
035200,프럼파스트,KOSDAQ,,벤처기업부,23879750790,9219981,
035290,골드앤에스,KOSDAQ,,관리종목(소속부없음),7880922144,4767648,
035460,기산텔레콤,KOSDAQ,,벤처기업부,34913595600,14920340,
035600,KG이니시스,KOSDAQ,,우량기업부,273339985280,27554434,
035610,솔본,KOSDAQ,,투자주의환기종목(소속부없음),134542305240,27345997,
035620,바른손이앤에이,KOSDAQ,,중견기업부,14515736040,18609918,
035810,이지홀딩스,KOSDAQ,,우량기업부,279355081050,64516185,
035890,서희건설,KOSDAQ,,중견기업부,419328842720,207588536,
036000,예림당,KOSDAQ,,중견기업부,66108374990,23034277,
036010,아비코전자,KOSDAQ,,중견기업부,83213766840,13292934,
036030,케이티알파,KOSDAQ,,우량기업부,228429197060,49019141,
036090,위지트,KOSDAQ,,중견기업부,55826274368,42550514,
036120,서울평가정보,KOSDAQ,,중견기업부,54369315000,35145000,
036170,에이치엠넥스,KOSDAQ,,중견기업부,177960315400,61365626,
036190,금화피에스시,KOSDAQ,,우량기업부,193500000000,6000000,
036200,유니셈,KOSDAQ,,우량기업부,239794223860,30664223,
036220,오상헬스케어,KOSDAQ,,우량기업부,97447122960,14309416,
036480,대성미생물,KOSDAQ,,중견기업부,23674000000,3800000,
036540,SFA반도체,KOSDAQ,,중견기업부,861771987720,164460303,
036560,KZ정밀,KOSDAQ,,우량기업부,183960000000,15750000,
036620,감성코퍼레이션,KOSDAQ,,우량기업부,376076420640,89862944,
036630,세종텔레콤,KOSDAQ,,우량기업부,102200000000,14000000,
036640,HRS,KOSDAQ,,우량기업부,79157232000,16354800,
036670,삼양케이씨아이,KOSDAQ,,우량기업부,53801000000,10760200,
036690,코맥스,KOSDAQ,,관리종목(소속부없음),125692107675,43567455,
036710,심텍홀딩스,KOSDAQ,,중견기업부,179086086060,52827754,
036800,나이스정보통신,KOSDAQ,,우량기업부,256165000000,9100000,
036810,에프에스티,KOSDAQ,,중견기업부,456810547900,21649789,
036890,진성티이씨,KOSDAQ,,우량기업부,319913685960,22032623,
037030,파워넷,KOSDAQ,,우량기업부,96439109760,25512992,
037070,파세코,KOSDAQ,,중견기업부,144000000000,20000000,
037230,한국팩키지,KOSDAQ,,우량기업부,41392654203,29800327,
037330,인지디스플레,KOSDAQ,,우량기업부,34888753080,43885224,
037350,성도이엔지,KOSDAQ,,우량기업부,118181700000,15210000,
037370,EG,KOSDAQ,,벤처기업부,26608038620,8624972,
037400,우리엔터프라이즈,KOSDAQ,,중견기업부,18985702504,26223346,
037440,희림,KOSDAQ,,우량기업부,56177186625,13922475,
037460,삼지전자,KOSDAQ,,우량기업부,584203087600,16318522,
037760,쎄니트,KOSDAQ,,중견기업부,81029845795,33832921,
037950,엘컴텍,KOSDAQ,,중견기업부,47121713370,16889503,
038010,제일테크노스,KOSDAQ,,우량기업부,47340000000,9000000,
038060,루멘스,KOSDAQ,,중견기업부,48054965931,48103069,
038070,서린바이오,KOSDAQ,,중견기업부,40364933840,9300676,
038110,에코플라스틱,KOSDAQ,,우량기업부,80280271500,41169370,
038290,마크로젠,KOSDAQ,,중견기업부,129663144000,10841400,
038390,레드캡투어,KOSDAQ,,우량기업부,164867304920,16720822,
038460,바이오스마트,KOSDAQ,,우량기업부,72411562830,25274542,
038530,케이바이오랩스,KOSDAQ,,중견기업부,25916012122,25890122,
038540,상상인,KOSDAQ,,중견기업부,112869758520,55328313,
038620,위즈코프,KOSDAQ,,벤처기업부,26626479894,15145893,
038680,에스넷,KOSDAQ,,우량기업부,76962361330,19912642,
038870,에코심플렉스,KOSDAQ,,중견기업부,24414041158,14014949,
038880,아이에이,KOSDAQ,,투자주의환기종목(소속부없음),27577932410,7514423,
038950,파인디지털,KOSDAQ,,중견기업부,29202787900,10210765,
039010,현대에이치티,KOSDAQ,,우량기업부,63480000000,8625000,
039020,이건홀딩스,KOSDAQ,,중견기업부,55332537050,22584709,
039030,이오테크닉스,KOSDAQ,,우량기업부,4028492850000,12319550,
039200,오스코텍,KOSDAQ,,벤처기업부,1285474713600,38258176,
039240,경남스틸,KOSDAQ,,우량기업부,50586757500,26979604,
039290,인포뱅크,KOSDAQ,,중견기업부,30776682120,8693978,
039310,세중,KOSDAQ,,중견기업부,19970077034,18121667,
039340,한국경제TV,KOSDAQ,,우량기업부,107360000000,22000000,
039420,케이엘넷,KOSDAQ,,중견기업부,63907378290,22946994,
039440,에스티아이,KOSDAQ,,우량기업부,348908557500,15507047,
039560,다산네트웍스,KOSDAQ,,중견기업부,108507824040,42888468,
039610,화성밸브,KOSDAQ,,우량기업부,54966912000,10410400,
039740,한국정보공학,KOSDAQ,,벤처기업부,26019698265,8018397,
039830,오로라,KOSDAQ,,우량기업부,254542348500,10762890,
039840,디오,KOSDAQ,,중견기업부,166356267200,13415828,
039860,나노엔텍,KOSDAQ,,중견기업부,142087087690,38093053,
039980,폴라리스AI,KOSDAQ,,중견기업부,80678610540,14381214,
040160,누리플렉스,KOSDAQ,,중견기업부,57926845675,12055535,
040300,YTN,KOSDAQ,,중견기업부,97261039200,47676980,
040350,크레오에스지,KOSDAQ,,벤처기업부,145347354720,19856196,
040420,정상제이엘에스,KOSDAQ,,우량기업부,90459475040,15677552,
040610,SG&G,KOSDAQ,,중견기업부,54539513600,17043598,
040910,아이씨디,KOSDAQ,,중견기업부,77149797375,18174275,
041020,폴라리스오피스,KOSDAQ,,벤처기업부,155510272090,49683793,
041190,우리기술투자,KOSDAQ,,우량기업부,389340000000,84000000,
041440,현대에버다임,KOSDAQ,,우량기업부,115614293760,17841712,
041460,한국전자인증,KOSDAQ,,중견기업부,63840000000,19000000,
041520,이엘씨,KOSDAQ,,투자주의환기종목(소속부없음),133588480800,12188730,
041590,플래스크,KOSDAQ,,관리종목(소속부없음),116064014460,48972158,
041830,인바디,KOSDAQ,,우량기업부,764366009400,13480882,
041910,폴라리스AI파마,KOSDAQ,,우량기업부,71862923500,13283350,
041920,메디아나,KOSDAQ,,우량기업부,170917669370,18598223,
041930,SY동아,KOSDAQ,,우량기업부,69844000000,15200000,
041960,코미팜,KOSDAQ,,벤처기업부,564492821800,73886495,
042000,카페24,KOSDAQ,,우량기업부,432063880030,24178169,
042040,케이피엠테크,KOSDAQ,,중견기업부,37458681120,8670991,
